token,name,symbol,decimals
0x5Ca135cB8527d76e932f34B5145575F9d8cbE08E,Frax Price Index,FPI,18
0x046EeE2cc3188071C02BfC1745A6b17c656e3f3d,Rollbit Coin,RLB,18
0xd5F7838F5C461fefF7FE49ea5ebaF7728bB0ADfa,Mantle Staked Ether,METH,18
0x853d955aCEf822Db058eb8505911ED77F175b99e,Frax,FRAX,18
0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai,DAI,18
0xFa2B947eEc368f42195f24F36d2aF29f7c24CeC2,Falcon USD,USDf,18
0x437cc33344a0B27A429f795ff6B469C72698B291,WrappedM by M^0,wM,6
0x1aBaEA1f7C830bD89Acc67eC4af516284b1bC33c,EURC,EURC,6
0x73A15FeD60Bf67631dC6cd7Bc5B6e8da8190aCF5,Usual USD,USD0,18
0x5F7827FDeb7c20b443265Fc2F40845B715385Ff2,EUR CoinVertible,EURCV,18
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,WETH,18
0xa3931d71877C0E7a3148CB7Eb4463524FEc27fbD,Savings USDS,sUSDS,18
0xbbAec992fc2d637151dAF40451f160bF85f3C8C1,USD Mapped Token,USDM,6
0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3,Ondo,ONDO,18
0x72e4f9F808C49A2a61dE9C5896298920Dc4EEEa9,HarryPotterObamaSonic10Inu (ERC-20),BITCOIN,8
0x7A56E1C57C7475CCf742a1832B028F0456652F97,SolvBTC,SolvBTC,18
0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,Uniswap,UNI,18
0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,Aave,AAVE,18
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,Wrapped Bitcoin,WBTC,8
0x3472A5A71965499acd81997a54BBA8D852C6E53d,Badger DAO,BADGER,18
0x64aa3364F17a4D01c6f1751Fd97C2BD3D7e7f1D5,Olympus v2,OHM,9
0x8d0D000Ee44948FC98c9B98A4FA4921476f08B0d,World Liberty Financial USD,USD1,18
0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,Coinbase Wrapped BTC,CBBTC,8
0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USDt,USDT,6
0x57B96D4aF698605563A4653D882635da59Bf11AF,SOFA Org,RCH,18
0x68749665FF8D2d112Fa859AA293F07A622782F38,Tether Gold,XAUt,6
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,USDC,6
0xE9A95d175a5f4C9369f3b74222402eB1b837693b,ChangeNOW Token,NOW,8
0xBa25B2281214300E4e649feAd9A6d6acD25f1c0a,Tree,TREE,18
0xe76C6c83af64e4C60245D8C7dE953DF673a7A33D,Railgun,RAIL,18
0x8236a87084f8B84306f72007F36F2618A5634494,Lombard Staked BTC,LBTC,8
0x0000000000c5dc95539589fbD24BE07c6C14eCa4,Milady Cult Coin,CULT,18
0x18084fbA666a33d37592fA2633fD49a74DD93a88,tBTC,TBTC,18
0x5422374B27757da72d5265cC745ea906E0446634,USD CoinVertible,USDCV,18
0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,Wrapped eETH,weETH,18
0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,Lido DAO,LDO,18
0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD,RLUSD,RLUSD,18
0x514910771AF9Ca656af840dff83E8264EcF986CA,Chainlink,LINK,18
0x45804880De22913dAFE09f4980848ECE6EcbAf78,PAX Gold,PAXG,18
0x00000000eFE302BEAA2b3e6e1b18d08D69a9012a,AUSD,AUSD,6
0x8881562783028F5c1BCB985d2283D5E170D88888,Shuffle,SHFL,18
0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,Lido wstETH,WSTETH,18
0xec53bF9167f50cDEB3Ae105f56099aaaB9061F83,EigenLayer,EIGEN,18
0x5F0E628B693018f639D10e4A4F59BD4d8B2B6B44,Whiteheart,WHITE,18
0xf34960d9d60be18cC1D5Afc1A6F012A723a28811,KuCoin Token,KCS,6
0xbdF43ecAdC5ceF51B7D1772F722E40596BC1788B,SEI,SEI,18
0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,Kelp DAO Restaked ETH,RSETH,18
0x163f8C2467924be0ae7B5347228CABF260318753,Worldcoin,WLD,18
